lot_id,auction_id,sale_date,year,make,model,engine_cc,odometer,sold_price,hammer_price,lot_name
REC17209-3,263,2026-06-27,2010,Moto Guzzi,V7 Classic,744,,2300,2000,2010 Moto Guzzi V7 Classic 744cc
REC17209-4,263,2026-06-27,1972,Honda,Cl175,175,,1725,1500,1972 Honda CL175 K6 Scrambler 175cc
REC17209-5,263,2026-06-27,1990,Ducati,Paso,904,,2185,1900,1990 Ducati Paso 906E 904cc
REC17211-1,263,2026-06-27,1976,Ossa,Mar 250 Trials,244,,2530,2200,1976 Ossa MAR 250 Trials 244cc
REC17202-10,263,2026-06-29,1992,Kawasaki,Ksr-1,49,,368,320,c.1992 Kawasaki KSR-1 50 49cc
REC17202-11,263,2026-06-29,1979,Motobi,Sport Special,124,,368,320,1973 Motobi 125 Sport Special 124cc
REC17202-12,263,2026-06-29,1998,Beta,Techno 250 B6,247,,460,400,c.1998 Beta Techno B6 250 247cc
REC17202-13,263,2026-06-29,1989,Tomos,A3 Automatic,49,,575,500,1989 Tomos A3 Automatic Moped 49cc
REC17202-14,263,2026-06-29,1984,Fantic,Tx250,125,,345,300,c.1984 Fantic TX250 Trials Bike 125cc
REC17202-15,263,2026-06-29,1974,Yamaha,Xs500E,498,,460,400,1974 Yamaha XS500E 498cc
REC17202-4,263,2026-06-29,1979,Honda,Z50J Monkey Bike,49,,1380,1200,1979 Honda Z50J 'Metisse' Monkey Bike 49cc
REC17202-5,263,2026-06-29,1959,Mondial,Scugnizzo,74,,368,320,1959 Mondial Scugnizzo 74cc
REC17202-6,263,2026-06-29,1968,Negrini,Texas,49,,230,200,c.1968 Negrini Texas 49cc
REC17202-8,263,2026-06-29,2008,Yamaha,Cp250 Max Am,249,,437,380,c.2008 Yamaha CP250 Max Am 249cc
REC17202-9,263,2026-06-29,1968,Yamaha,A7,123,,483,420,1968 Yamaha A7 123cc
REC17215-3,263,2026-06-29,2023,Ccm,Spitfire Bobber,600,,5520,4800,2023 CCM Spitfire Bobber 600cc
REC17225-1,263,2026-06-29,1975,Harley Davidson,X90 Monkey Bike,89,,2530,2200,1975 Harley-Davidson X90 Monkey Bike 89cc
